app_source_timestamp,app_targets_count,app_targets_up,burst_class,burst_score,cadvisor_up,controller_mode,cpu_source_timestamp,cpu_usage_cores,cpu_utilization_pct,current_rps,current_slo_violation,desired_replicas,error_rps,forecast_error,forecast_rps_horizon,git_commit,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,memory_bytes,memory_source_timestamp,pending_replicas,pod_start_events,random_seed,ready_replicas,restart_count,run_id,scaling_event,scaling_reason,scenario,snapshot_duration_s,strategy,success_rps,timestamp
1788686454.83,1.0,1.0,,,1.0,OFF,1788686454.8318887,0.04134512499999998,16.53804999999999,10.0,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.5846416749810714,3.009455709840319,8.523200519833418,9.704640103966685,39288832.0,1788686454.8318887,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.09400000000005093,STATIC,10.0,1788686455.711289
1788686456.831,1.0,1.0,,,1.0,OFF,1788686456.8327758,0.04251868516435446,17.007474065741786,9.87376577927759,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.674554772150317,3.0384615384615383,8.589285714285715,9.717857142857142,39796736.0,1788686456.8327758,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.10899999999946886,STATIC,9.87376577927759,1788686457.3808837
1788686458.83,1.0,1.0,,,1.0,OFF,1788686458.832674,0.05472412500000001,21.889650000000003,9.875,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,6.398194316463122,3.4649122807017543,9.297619047619047,120.99999999999939,39550976.0,1788686458.832674,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.06199999999989814,STATIC,9.875,1788686459.3866007
1788686460.831,1.0,1.0,,,1.0,OFF,1788686460.8329186,0.05396000000000001,21.584000000000003,9.75,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,6.395258551294366,3.4210526315789473,9.274999999999999,121.99999999999989,39297024.0,1788686460.8329186,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.06199999999989814,STATIC,9.75,1788686461.388393
1788686462.83,1.0,1.0,,,1.0,OFF,1788686462.832148,0.05314325000000003,21.25730000000001,9.75,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,6.330711769260816,3.2500000000000004,9.147058823529411,121.99999999999989,39550976.0,1788686462.832148,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.09400000000005093,STATIC,9.75,1788686463.392643
1788686464.828,1.0,1.0,,,1.0,OFF,1788686464.8301752,0.05287420282605972,21.14968113042389,9.878704514192822,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,6.2667343291374165,3.1854838709677415,9.078125000000002,120.99999999999989,40079360.0,1788686464.8301752,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.06199999999989814,STATIC,9.878704514192822,1788686465.3874037
1788686466.829,1.0,1.0,,,1.0,OFF,1788686466.8304257,0.040975246905863204,16.390098762345282,9.876234529316164,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.50901024053081,2.7816901408450705,7.531249999999993,9.50625,39555072.0,1788686466.8304257,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.07799999999951979,STATIC,9.876234529316164,1788686467.3872726
1788686468.828,1.0,1.0,,,1.0,OFF,1788686468.8302972,0.04053457546579971,16.213830186319882,10.003751406777543,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.454750250025087,2.666666666666666,5.999999999999995,9.2,39297024.0,1788686468.8302972,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.06199999999989814,STATIC,10.003751406777543,1788686469.380834
1788686470.829,1.0,1.0,,,1.0,OFF,1788686470.8304317,0.040833854231778946,16.333541692711577,10.126265783222903,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.473433259268005,2.62987012987013,4.996753246753247,8.987499999999992,39550976.0,1788686470.8304317,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.06199999999989814,STATIC,10.126265783222903,1788686471.3836005
1788686472.829,1.0,1.0,,,1.0,OFF,1788686472.8311887,0.040057867766529184,16.023147106611674,9.998750156230471,False,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,4.440607262509388,2.5974025974025974,4.935064935064935,8.666666666666663,39280640.0,1788686472.8311887,0,0,240005,1,0,20260906T092055Z-obs-28b279b0,False,,observability-smoke,0.09400000000005093,STATIC,9.998750156230471,1788686473.3826163
