app_source_timestamp,app_targets_count,app_targets_up,burst_class,burst_score,cadvisor_up,controller_mode,cpu_source_timestamp,cpu_usage_cores,cpu_utilization_pct,current_rps,current_slo_violation,desired_replicas,error_rps,forecast_error,forecast_rps_horizon,git_commit,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,memory_bytes,memory_source_timestamp,pending_replicas,pod_start_events,random_seed,ready_replicas,restart_count,run_id,scaling_event,scaling_reason,scenario,snapshot_duration_s,strategy,success_rps,timestamp
,1.0,1.0,,,1.0,OFF,1788686406.8360312,0.005162270283785477,2.064908113514191,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38576128.0,1788686406.8360312,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.09400000000005093,STATIC,0.0,1788686408.3123527
,1.0,1.0,,,1.0,OFF,1788686408.8345878,0.00503313328332085,2.01325331332834,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38326272.0,1788686408.8345878,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.0929999999998472,STATIC,0.0,1788686409.9848678
,1.0,1.0,,,1.0,OFF,1788686410.833915,0.005484496124031042,2.1937984496124168,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38842368.0,1788686410.833915,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07800000000042928,STATIC,0.0,1788686411.9888532
,1.0,1.0,,,1.0,OFF,1788686412.834312,0.005731999999999959,2.2927999999999837,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38604800.0,1788686412.834312,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.18699999999989814,STATIC,0.0,1788686413.985702
,1.0,1.0,,,1.0,OFF,1788686414.8341374,0.005857357169646211,2.3429428678584845,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38612992.0,1788686414.8341374,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07799999999951979,STATIC,0.0,1788686415.9792132
,1.0,1.0,,,1.0,OFF,1788686416.8407037,0.006921624999999987,2.7686499999999947,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,39133184.0,1788686416.8407037,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07799999999951979,STATIC,0.0,1788686417.98817
,1.0,1.0,,,1.0,OFF,1788686418.833839,0.006938500000000014,2.7754000000000056,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38612992.0,1788686418.833839,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.06199999999989814,STATIC,0.0,1788686419.9829612
,1.0,1.0,,,1.0,OFF,1788686420.834825,0.0065310586176728115,2.6124234470691245,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38359040.0,1788686420.834825,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07799999999951979,STATIC,0.0,1788686421.98608
,1.0,1.0,,,1.0,OFF,1788686422.8339543,0.005700125,2.28005,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38354944.0,1788686422.8339543,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.13999999999941792,STATIC,0.0,1788686423.9874678
,1.0,1.0,,,1.0,OFF,1788686424.8348022,0.004774778152730934,1.9099112610923736,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38612992.0,1788686424.8348022,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.06199999999989814,STATIC,0.0,1788686425.9754767
,1.0,1.0,,,1.0,OFF,1788686426.8336596,0.004582749999999969,1.8330999999999875,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,39133184.0,1788686426.8336596,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07800000000042928,STATIC,0.0,1788686427.9887507
,1.0,1.0,,,1.0,OFF,1788686428.8347745,0.0047089636204525435,1.8835854481810175,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,39395328.0,1788686428.8347745,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.06199999999989814,STATIC,0.0,1788686429.9746065
,1.0,1.0,,,1.0,OFF,1788686430.8348353,0.00476215473065865,1.9048618922634601,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38617088.0,1788686430.8348353,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.06199999999989814,STATIC,0.0,1788686431.9866955
,1.0,1.0,,,1.0,OFF,1788686432.835081,0.005026499999999989,2.0105999999999957,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38875136.0,1788686432.835081,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07800000000042928,STATIC,0.0,1788686433.9890811
,1.0,1.0,,,1.0,OFF,1788686434.8329544,0.0051442860715178885,2.0577144286071554,,,1,0.0,,,b0337e73666fbbb31d41bb733b8d02d980614f50,,,,,38633472.0,1788686434.8329544,0,0,240005,1,0,20260906T092007Z-obs-3f4ee284,False,,observability-smoke,0.07799999999951979,STATIC,0.0,1788686435.9840431
